2020-10-27 12:21:54 [                          main] ClassPathXmlApplicationContext DEBUG Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@79da8dc5
2020-10-27 12:21:55 [                          main] RestRegistryFactoryResolver    DEBUG Found RestRegistryFactory: org.apache.camel.component.rest.DefaultRestRegistryFactory via: META-INF/services/org/apache/camel/rest-registry-factory
2020-10-27 12:21:55 [                          main] RestRegistryFactoryResolver    DEBUG Detected and using RestRegistryFactory: org.apache.camel.component.rest.DefaultRestRegistryFactory@b93aad
2020-10-27 12:21:55 [                          main] ReactiveExecutorResolver       DEBUG Creating default ReactiveExecutor
2020-10-27 12:21:55 [                          main] ertiesComponentFactoryResolver DEBUG Found PropertiesComponent: org.apache.camel.component.properties.PropertiesComponent via: META-INF/services/org/apache/camel/properties-component-factory
2020-10-27 12:21:55 [                          main] ertiesComponentFactoryResolver DEBUG Detected and using PropertiesComponent: org.apache.camel.component.properties.PropertiesComponent@2555fff0
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Language with name simple in registry. Found: null
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Language with name simple-language in registry. Found: null
2020-10-27 12:21:55 [                          main] BeanProxyFactoryResolver       DEBUG Found BeanProxyFactory: org.apache.camel.component.bean.DefaultBeanProxyFactory via: META-INF/services/org/apache/camel/bean-proxy-factory
2020-10-27 12:21:55 [                          main] BeanProxyFactoryResolver       DEBUG Detected and using BeanProxyFactory: org.apache.camel.component.bean.DefaultBeanProxyFactory@c1fca1e
2020-10-27 12:21:55 [                          main] JmsComponent                   DEBUG Discovered component property configurer: jms -> org.apache.camel.component.jms.JmsComponentConfigurer@425357dd
2020-10-27 12:21:55 [                          main] JmsComponent                   DEBUG Discovered endpoint property configurer: jms -> org.apache.camel.component.jms.JmsEndpointConfigurer@6ce1f601
2020-10-27 12:21:55 [                          main] EventComponent                 DEBUG Discovered component property configurer: spring-event -> org.apache.camel.component.event.EventComponentConfigurer@213e3629
2020-10-27 12:21:55 [                          main] EventComponent                 DEBUG Discovered endpoint property configurer: spring-event -> org.apache.camel.component.event.EventEndpointConfigurer@c41709a
2020-10-27 12:21:55 [                          main] SpringCamelContext             DEBUG Using ComponentResolver: org.apache.camel.impl.engine.DefaultComponentResolver@530a8454 to resolve component with name: netty
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Component with name netty in registry. Found: null
2020-10-27 12:21:55 [                          main] ResolverHelper                 DEBUG Lookup Component with name netty-component in registry. Found: null
